Points,Clusters,Threads,Speedup
100000,25,1,0.95
100000,25,2,1.93
100000,25,4,3.12
100000,25,8,4.24
100000,25,16,3.94
100000,25,32,3.80
100000,50,1,0.95
100000,50,2,1.90
100000,50,4,3.07
100000,50,8,4.16
100000,50,16,3.86
100000,50,32,3.85
100000,100,1,0.93
100000,100,2,1.86
100000,100,4,2.94
100000,100,8,4.14
100000,100,16,3.89
100000,100,32,3.77
500000,50,1,0.94
500000,50,2,1.90
500000,50,4,2.86
500000,50,8,4.37
500000,50,16,3.85
500000,50,32,4.04
500000,100,2,1.85
500000,100,4,2.98
500000,100,8,4.22
500000,100,16,3.87
500000,100,32,3.85
